41,2020-08-12 12:58:07,UK,,1293532214811123714,"RT @mattlingard: 7 (SEVEN!) new, permanent digital learning roles @UAL. Digital Learning Producer x 3 (£46k+) https://t.co/4Rl3XTyGut Senio…"
42,2020-08-12 12:56:03,,,1293531697070235651,The Artist Exploring Skinhead Culture’s Shift from Multiculturalism to Fascism https://t.co/2MOfHpHI2X https://t.co/wZH4SiF4ES
43,2020-08-12 12:52:15,Plymouth UK,,1293530739531829250,"RT @mattlingard: 7 (SEVEN!) new, permanent digital learning roles @UAL. Digital Learning Producer x 3 (£46k+) https://t.co/4Rl3XTyGut Senio…"
44,2020-08-12 12:49:17,London,,1293529991813255171,"RT @mattlingard: 7 (SEVEN!) new, permanent digital learning roles @UAL. Digital Learning Producer x 3 (£46k+) https://t.co/4Rl3XTyGut Senio…"
45,2020-08-12 12:47:56,twenty one. she/her,,1293529651772620800,Fuck UAL. Fuck the exam board. Fuck coronavirus. Guess that’s my career down the drain :)
46,2020-08-12 12:47:50,Germany France Spain Italy AEX,,1293529629177905152,Jim Cramer Says Don't Sell American Airlines Stock https://t.co/FoukoQgL12 | $UAL $AC.TO $AC $BA $NCLH $RCL $DAL $XSPA $AAL $SAVE $LUV
47,2020-08-12 12:45:33,"Denver, CO",,1293529051018166273,"📰Today's quick hitters w/ curated links and select charts for related #ETFs and/or #stockstowatch 🗞️

$SPY $NKE… https://t.co/CT5DYuCoYx"
48,2020-08-12 12:44:33,"Yorkshire and The Humber, England",,1293528799838117897,"RT @mattlingard: 7 (SEVEN!) new, permanent digital learning roles @UAL. Digital Learning Producer x 3 (£46k+) https://t.co/4Rl3XTyGut Senio…"
49,2020-08-12 12:43:57,Mars,,1293528649363316738,"OPINION: Airlines are one of the best stocks to purchase right now, they are literally ON SALE, 50% off, $UAL, $LUV… https://t.co/04fDHCh8nu"
50,2020-08-12 12:43:12,"Baltimore, MD",,1293528462431485953,"@_Ashleymfox I’ve been watching AAL as a company for years, and haven’t liked what I’ve seen.

Well before the pand… https://t.co/JSMYwSAHHP"
51,2020-08-12 12:43:06,London,,1293528437332807682,@IWGBunion @UVWunion @ual_j4w can you please help us share 🙏
52,2020-08-12 12:41:06,Global/Learning#ReadWatchLearn,,1293527933655683072,RT @CSMShortCourses: Find all upcoming #onlineshortcourses taking place across all of UAL Short Courses in one place - lets get your summer…
53,2020-08-12 12:41:05,Germany France Spain Italy AEX,,1293527930442850304,"Airline stocks rally as travel demand increases, reaching new post-COVID-19 highs - MarketWatch… https://t.co/4J8PLEbDid"
54,2020-08-12 12:38:51,"London, England",,1293527366279606279,RT @MathWorks: 13 classic mathematics books! #mathematics #math #mathisbeautiful https://t.co/esArM8xudJ
55,2020-08-12 12:38:12,New York London Paris Munich,,1293527202609471489,"OTYT!

""When did music become a-sax-ual?""

""Maggie was the original gangster""

""I’m positive that Bob Dickinson on… https://t.co/TzBWtgSoMa"
56,2020-08-12 12:37:56,Germany France Spain Italy AEX,,1293527137908076545,Air traveler numbers hit highest level since March: TSA https://t.co/VdpVR8oDOA | $UAL $CCL $AC.TO $AC $BA $NCLH… https://t.co/rgjs0VCkoG
57,2020-08-12 12:36:39,"paris, france ",,1293526811494817794,RT @vegesos: ual.. dreaming of ya
58,2020-08-12 12:35:52,London,,1293526617080377351,"RT @mattlingard: 7 (SEVEN!) new, permanent digital learning roles @UAL. Digital Learning Producer x 3 (£46k+) https://t.co/4Rl3XTyGut Senio…"
59,2020-08-12 12:32:26,,,1293525750893522944,"Started with $16k, down to $4, back up to $42k. Big thanks for this community...👇
Free check out now:-… https://t.co/4wfDvHEbuQ"
60,2020-08-12 12:30:30,London (W1G 0BJ),,1293525263838597120,"Can you imagine how our lives would be without computers?

#OnThisDay The IBM Personal Computer was introduced on t… https://t.co/wrYKbKpWz0"
61,2020-08-12 12:30:16,"London, England",,1293525207467073536,"RT @mattlingard: 7 (SEVEN!) new, permanent digital learning roles @UAL. Digital Learning Producer x 3 (£46k+) https://t.co/4Rl3XTyGut Senio…"
62,2020-08-12 12:26:02,"Port Harcourt, Nigeria",,1293524140864012288,Why has armys normalized sl*t shaming artistes who are comfortable in their skin and try to deflect their non exist… https://t.co/9nZwnzHuxi
63,2020-08-12 12:25:58,"East Midlands, England",,1293524123336028161,"RT @mattlingard: 7 (SEVEN!) new, permanent digital learning roles @UAL. Digital Learning Producer x 3 (£46k+) https://t.co/4Rl3XTyGut Senio…"
64,2020-08-12 12:23:05,York,,1293523398392512514,"RT @mattlingard: 7 (SEVEN!) new, permanent digital learning roles @UAL. Digital Learning Producer x 3 (£46k+) https://t.co/4Rl3XTyGut Senio…"
65,2020-08-12 12:19:14,,,1293522428161925120,RT @TopStockTiger: $USO is about to break out $LRDC is a perfect grab here Initial Targets are previous highs at 075 Then .10.25.50 10 Mil…
66,2020-08-12 12:18:33,NYC,,1293522256317100034,$USO is about to break out $LRDC is a perfect grab here Initial Targets are previous highs at 075 Then .10.25.50 10… https://t.co/3kXPigMc27
67,2020-08-12 12:18:01,"New York, USA",,1293522124532068353,Short sale vol (not short interest) for $UAL on 2020-08-11 is 51%. https://t.co/kgjQotdUUm $HA 59% $ALK 50% $ALGT 48% $LUV 59%
68,2020-08-12 12:16:13,Grumpland,,1293521671073259522,"RT @LCFLondon: ""The #UALGraduateShowcase captures versatility in a generation that leave education physically alone but celebrate it, digit…"
69,2020-08-12 12:11:34,,,1293520499662884867,"Our featured e-books list is on the subject of race and racism, and includes a review of the book ‘Racism in Americ… https://t.co/lrxwVURTwE"
70,2020-08-12 12:00:27,,,1293517703077076992,RT @not_sameera: Child sex:ual abuse is common problem in Madrassas of Pakistan. What one can expect when their own religion allows paedo:p…
71,2020-08-12 12:00:18,London,,1293517664346923011,"""The #UALGraduateShowcase captures versatility in a generation that leave education physically alone but celebrate… https://t.co/TtKG2KIszs"
72,2020-08-12 12:00:13,"London, England",,1293517643383812098,"Moving into halls and haven't booked your arrivals slot yet? 

Here's a friendly reminder. 🤗 

&gt;&gt;… https://t.co/u0i0DJTVTb"
73,2020-08-12 11:59:03,Manchester,,1293517350633910272,"RT @mattlingard: 7 (SEVEN!) new, permanent digital learning roles @UAL. Digital Learning Producer x 3 (£46k+) https://t.co/4Rl3XTyGut Senio…"
74,2020-08-12 11:55:46,London / Mumbai,,1293516526113320962,ual is a fucking joke if they expect me to pay (increased) fees upfront
75,2020-08-12 11:52:43,jsv,,1293515755334467587,"the sex/ual tension.........

https://t.co/Wd3GUaIKzB"
76,2020-08-12 11:51:34,London,,1293515468251246592,"RT @mattlingard: 7 (SEVEN!) new, permanent digital learning roles @UAL. Digital Learning Producer x 3 (£46k+) https://t.co/4Rl3XTyGut Senio…"
77,2020-08-12 11:49:58,Belfast,,1293515065132539905,"RT @mattlingard: 7 (SEVEN!) new, permanent digital learning roles @UAL. Digital Learning Producer x 3 (£46k+) https://t.co/4Rl3XTyGut Senio…"
78,2020-08-12 11:48:44,Somewhere,,1293514753017610241,"RT @mattlingard: 7 (SEVEN!) new, permanent digital learning roles @UAL. Digital Learning Producer x 3 (£46k+) https://t.co/4Rl3XTyGut Senio…"
79,2020-08-12 11:44:53,"52.247634,0.412825",,1293513786545123330,@mattlingard @UAL SEVEN? THATS AWESOME! https://t.co/LXrzuL7IPt
80,2020-08-12 11:38:13,"Firies, Killarney, Co. Kerry",,1293512109138087937,"RT @mattlingard: 7 (SEVEN!) new, permanent digital learning roles @UAL. Digital Learning Producer x 3 (£46k+) https://t.co/4Rl3XTyGut Senio…"
0,2020-08-12 15:54:45,,,1293576665604521984,"#Breakfast #AdSpend up 130% at #Covid19 peak

Full analysis: https://t.co/WXeYbfTMUf

#DataScience #MachineLearning… https://t.co/4WVmSzaNJg"
1,2020-08-12 15:53:48,,,1293576426877341698,"$GOLD “Textbook” Bounce, Daily

$gdx $gld $slv $nem $f $ge $aal $dis $dal $tsla $ccl $gpro $acb $plug $nclh $snap… https://t.co/Y9HLyTDCA9"
2,2020-08-12 15:50:09,"Chicago, IL",,1293575509574590466,"✅Day+Swing+Options Trade Alerts
✅Educational Classes/Mentoring
✅Group Events/Competitions
✅Watchlists &amp; More!
✅~10k… https://t.co/XSaHlIDpC1"
3,2020-08-12 15:48:34,,,1293575112097034241,"Started with $16k, down to $4, back up to $42k. Big thanks for this community...👇
Free check out now:-… https://t.co/mcDHq06qV6"
4,2020-08-12 15:45:57,,,1293574450097643521,"#France #Netherlands &amp; #Spain lead #European #hoteloccupancy with +40%.

Full article: https://t.co/1e5bnPd2Ez… https://t.co/JzNisYLY3R"
5,2020-08-12 15:38:22,"North West, England",,1293572544382066689,"RT @mattlingard: 7 (SEVEN!) new, permanent digital learning roles @UAL. Digital Learning Producer x 3 (£46k+) https://t.co/4Rl3XTyGut Senio…"
6,2020-08-12 15:37:23,,,1293572296918142977,"$UAL 2020-08-28 C $42

Bid-Ask: $0.76 - $0.8
Interest: 279
Volume: 1,110
IV: 90.73%
% Diff: 18.31%
Underlying: $35.… https://t.co/kJiKTU8MRj"
7,2020-08-12 15:37:10,"Seattle, WA",,1293572242530398209,"RT @mattlingard: 7 (SEVEN!) new, permanent digital learning roles @UAL. Digital Learning Producer x 3 (£46k+) https://t.co/4Rl3XTyGut Senio…"
8,2020-08-12 15:32:02,Online,,1293570951779622914,"It's Team Biden\Harris! It's the only way. Let's do this. @JoeBiden @KamalaHarris https://t.co/hEG9Y1T34q Share, sh… https://t.co/NwjdYwebSC"
9,2020-08-12 15:31:33,"London, SW.",,1293570829473783814,"RT @mattlingard: 7 (SEVEN!) new, permanent digital learning roles @UAL. Digital Learning Producer x 3 (£46k+) https://t.co/4Rl3XTyGut Senio…"
10,2020-08-12 15:30:07,USA,,1293570466184077312,"Oversold on Hourly  
https://t.co/2Hf0ZbjpKC 
$DISH  35.99  to 34.81 
$TXT  39.66  to 37.96 
$UAL  38.60  to 35… https://t.co/lCSCzdRoV5"
11,2020-08-12 15:29:04,,,1293570201276030977,"Very tough day today, significantly slower week, got myself in the hole but managed to turned my day around with… https://t.co/QaCN8AEdqt"
12,2020-08-12 15:27:54,,,1293569911512616961,@Makihara69 bts + neymar= tudo
13,2020-08-12 15:27:31,Zambia,,1293569811499417603,"University of the Arts, London #Learning #digital via https://t.co/YMm6d0aTSC https://t.co/7FwuRyE9rg"
14,2020-08-12 15:26:01,"Chicago, IL",,1293569434737504257,RT @MikeHannaUAL: So proud of our @united TEAMs innovative &amp; creative efforts 2 showcase our aircraft HEPA filtration system!! Huge shout o…
15,2020-08-12 15:25:39,,,1293569341573783553,@GMofCFB @ArmyWP_Football @FQArmy @FQNavy @NavyFB @AF_Football @CGA_Football @USArmy @AirForceAssoc @USCG @UNISWAG AF baby!✈️🇺🇸
16,2020-08-12 15:23:02,Argentina,,1293568685584650241,"Stocks with greater movement, last 15 minutes

$IGC +/- 11.03% India Globalization Capital In..
$DOCU +/- 1.61% Doc… https://t.co/x8QeGfOVvt"
17,2020-08-12 15:22:52,,,1293568641175298058,Best discord group out there for stock trading and everything free https://t.co/L8J08TvSHX no premium bs just hones… https://t.co/Onv9iCGHW3
18,2020-08-12 15:21:13,,,1293568226874425350,RT @TradeLikeElvis: $ual $save $dal $luv some profit taking here today. I think it is an opportunity to get long. Airlines have more room t…
19,2020-08-12 15:18:25,milton keynes,,1293567523372314624,@SkySportsPL the country of Portugal
20,2020-08-12 15:17:22,,,1293567256841129985,$ual $save $dal $luv some profit taking here today. I think it is an opportunity to get long. Airlines have more ro… https://t.co/QEOGqjx5KO
21,2020-08-12 15:10:25,"Pennsylvania, USA",,1293565509468913669,"$BBRW go to the 8:00 Mark of this video and listen to it. 
$BUD mention 

https://t.co/tTM5wFyjqP

$GAXY $OPTI… https://t.co/tbeyHejIZN"
22,2020-08-12 15:08:08,,,1293564934538895361,"RT @Jorgensen4POTUS: Dear America, 
Picking between the Mob and the Joker isn't a choice. It's time to vote for the hero we need.

Love, Ba…"
23,2020-08-12 15:07:58,,,1293564891974991873,"RT @Jorgensen4POTUS: You were born with natural rights and government can take them away from you only through the use of force.
Self-procl…"
24,2020-08-12 15:07:22,,,1293564743106678785,RT @ToddHagopian: The Libertarian Party is the only party who is still fighting for Criminal Justice Reform
25,2020-08-12 15:01:14,United States,,1293563196876509196,RT @BigHitEnt: #BTS #방탄소년단 #BTS_Dynamite Group Teaser Photo 1 https://t.co/dAuYl7q3cj
26,2020-08-12 15:00:19,,,1293562966185394177,@Natr89 @Shaah_Nawaz @amar7up @mkatju @Shehla_Rashid @khanumarfa Oh so you detest Arabs then why take the name give… https://t.co/4xcX6wz6Rv
27,2020-08-12 14:58:44,United States,,1293562569706418176,"@taeyookis Day6, Stray kids, MONSTA X, Got7, txt,"
28,2020-08-12 14:58:00,Magic City,,1293562383164727296,RT @JDuncan1987: $BBRW news and confirmation of share buyback starting September 1st. This will be a runner soon by September . BrewBilt is…
29,2020-08-12 14:55:41,"Rio Grande do Sul, Brasil",,1293561801297334274,"@BatimaWeb ual, show"
30,2020-08-12 14:55:28,nyc,,1293561745827659777,Covered metals gave back half my gains... added to $DIS still in $MAR $DAL and put on $UAL $CZR
31,2020-08-12 14:54:10,Radio K - Real College Rado,,1293561422245314561,Ca$ual - Much (K Local January 2020)
32,2020-08-12 14:52:54,Newcastle upon Tyne,,1293561099896455169,"RT @mattlingard: 7 (SEVEN!) new, permanent digital learning roles @UAL. Digital Learning Producer x 3 (£46k+) https://t.co/4Rl3XTyGut Senio…"
33,2020-08-12 14:50:00,,,1293560373346533377,RT @LibertarianSolu: #JoJorgensen2020 made it on the ballot in all 50 States. Would be treason for them to disclude her from the debates. E…
34,2020-08-12 14:48:45,,,1293560056697544709,RT @abhorrent_ansel: y’all better not forget https://t.co/F47W1AESDB
35,2020-08-12 14:46:32,she/her. bi,,1293559500801110020,@jungleggukk @lvrkoo Chimchimtrash is actually problematic she se*ual*ze them and many more things she does.
36,2020-08-12 14:46:04,,,1293559382328958978,@DanRather kamel hair has more baggage than ual....lol
37,2020-08-12 14:42:04,Atlanta,,1293558376882999296,"why are the Airlines red ???? 😤🤬

$DAL $UAL $AAL"
38,2020-08-12 14:41:56,,,1293558342137389056,@DividenDayTrade @KamBigStocks That’s where remarks confirmed connections to the Hollywood industry (see Brett rath… https://t.co/7ZhfIaYtKJ
39,2020-08-12 14:41:52,California,,1293558326207238144,"For a limited time, we are opening our trading chatroom to the public! Come learn, and get these gains with us… https://t.co/DLO4nnxvHO"
40,2020-08-12 14:39:26,NEW YORK NEW YORK,,1293557714040233985,"$GSFI Implements Impactful #Biosolar Approach with Next-Gen #SolarGreenhouses #GSFI #OtcPicksAlert @otcprwire

💯… https://t.co/l7i9h14R72"
41,2020-08-12 14:37:33,"Manchester, England",,1293557240704774152,"@ayoguofficial Someone teach me how to pain like this, I NEED to get into UAL"
42,2020-08-12 14:35:55,NEW YORK NEW YORK,,1293556826143768577,"$GSFI Implements Impactful #Biosolar 

💯 https://t.co/QKuwZhVPn4

$ge $aapl $msft $aal $dis $dal $tsla $ccl $plug… https://t.co/B0lUztthE0"
43,2020-08-12 14:35:06,"Ⓚnowhere, #DOGGOD, New Earth.",,1293556621021532161,"HOW TO STORE ME. #GameBattles [GB]-[Gerald Butler]

[MED|USA]-[United States Of America]
⇊
𝐌𝐄𝐃ICINE [… https://t.co/YSsL2TCClt"
44,2020-08-12 14:34:35,,,1293556492747014145,"RT @TraderHudson: ""Closed alert. +153%. Announced live in chat. Join us for a free 20 day trial.""
https://t.co/pVDuQVkgr8

$AMD $GE $BA $UB…"
45,2020-08-12 14:33:49,california,,1293556297187508224,"""Closed alert. +153%. Announced live in chat. Join us for a free 20 day trial.""
https://t.co/pVDuQVkgr8

$AMD $GE… https://t.co/UOYsNXmC8Y"
46,2020-08-12 14:26:09,London,,1293554369829404672,@srowett @UAL Have lost staff to wealthier institutions in the past I’m looking forward to some plundering
47,2020-08-12 14:25:46,california,,1293554272974512128,"""Alerts and our settings from our mobile BETA app. Get notifications and subscribe to the traders of your choice.""… https://t.co/p7PCDynGvI"
48,2020-08-12 14:24:28,"Vancouver, British Columbia",,1293553944757596160,"RT @mattlingard: 7 (SEVEN!) new, permanent digital learning roles @UAL. Digital Learning Producer x 3 (£46k+) https://t.co/4Rl3XTyGut Senio…"
49,2020-08-12 14:24:08,London,,1293553862209568768,@mattlingard @UAL Just checking that 'must not currently work at in institution in Bloomsbury' is part of the shortlisting criteria?
50,2020-08-12 14:22:27,,,1293553440396922881,$UAL Head and Shoulders formed. Move downward is more likely to round out the day.
51,2020-08-12 14:21:23,,,1293553168811470850,"RT @mattlingard: 7 (SEVEN!) new, permanent digital learning roles @UAL. Digital Learning Producer x 3 (£46k+) https://t.co/4Rl3XTyGut Senio…"
52,2020-08-12 14:19:56,,,1293552805047869444,"RT @TraderHudson: ""$CHWY puts. Alerted live in chat and with member wins.""
https://t.co/pVDuQVkgr8

$AAPL $TSLA $FB $TWTR $SNAP $AMD $GE $B…"
53,2020-08-12 14:16:22,USA,,1293551906011467776,"RT @daily_otc: RE $JETR Private Jet Travel is Skyrocketing: Star Jets International, Inc. (JETR) Shares Could Surge This Month https://t.co…"
54,2020-08-12 14:13:41,"Sunnyvale, CA",,1293551231294533632,$UAL's in Uptrend: Moving Average Convergence Divergence (MACD) Histogram crosses above signal line. View odds for… https://t.co/9qSYyMW3w7
55,2020-08-12 14:12:35,,,1293550955447955458,"RT @TopStockTips1: $PLIN bids stacking at $1.18 time for a big bounce 

$VXRT $CAPR $STNE $SQQQ $CAR $WYNN $SABR $QCOM $DISCA $OSTK $CRWD $…"
56,2020-08-12 14:11:35,,,1293550702883680256,"RT @TopStockTips1: $PLIN bids stacking at $1.18 time for a big bounce 

$VXRT $CAPR $STNE $SQQQ $CAR $WYNN $SABR $QCOM $DISCA $OSTK $CRWD $…"
57,2020-08-12 14:09:24,United States,,1293550156206440450,"@RizayW They change direction every few hours... Not sure $UAL hit $39 again today.  But without a broad selloff, m… https://t.co/nTg6X8M5r4"
58,2020-08-12 14:08:52,"Waterloo SE1 7NQ, London",,1293550020495540224,"RT @GMBSLU: Truly inspiring stuff! Let's end outsourcing at @UAL too ♥️

@ual_j4w"
59,2020-08-12 14:08:50,california,,1293550012224303104,"""$CHWY puts. Alerted live in chat and with member wins.""
https://t.co/pVDuQVkgr8

$AAPL $TSLA $FB $TWTR $SNAP $AMD… https://t.co/RMUIq3Ibsv"
60,2020-08-12 14:07:37,"Barcelona, Spain",,1293549706417758216,"RT @mattlingard: 7 (SEVEN!) new, permanent digital learning roles @UAL. Digital Learning Producer x 3 (£46k+) https://t.co/4Rl3XTyGut Senio…"
61,2020-08-12 14:03:19,Earth,,1293548624341860358,@chicagosmayor @chicagosmayor read this article from the WSJ https://t.co/mCzVldDBqM
62,2020-08-12 14:02:16,,,1293548357491752960,"RT @TopStockTips1: $PLIN bids stacking at $1.18 time for a big bounce 

$VXRT $CAPR $STNE $SQQQ $CAR $WYNN $SABR $QCOM $DISCA $OSTK $CRWD $…"
63,2020-08-12 14:01:15,"Florida, USA",,1293548101685391361,RT @JDuncan1987: $BBRW news and confirmation of share buyback starting September 1st. This will be a runner soon by September . BrewBilt is…
64,2020-08-12 14:00:23,"London, England",,1293547885846581249,"It's not too late to sign up to Energy Healing with Julie tonight. 🔮 💫 

Book your FREE space now:… https://t.co/3G5tsEfHIl"
65,2020-08-12 13:58:49,,,1293547490013089793,@pawan1234o @T66476371 @johnscharts Casinos $WYNN $LVS $MGM are turning down from highs in the Open. Same with Airl… https://t.co/e21dffNmOo
